"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","treatment","scaled_median"
"284",28.3,0,203.045820417529,30.1629462783983,94.5871554861642,68.0110760235967,58.5087071058943,"S",0.944990788851652
"285",28.4,0,202.503596895312,29.4888854108042,94.2772348929163,67.5376706460564,57.9772437371312,"S",0.936406972648293
"286",28.5,0,202.352954716115,28.6459742766757,93.779607831791,66.9930464117456,57.3470536528249,"S",0.926228593149712
"287",28.6,0,202.496523849513,27.7268277499379,93.2365164242339,66.4121619130383,56.6420560411526,"S",0.914841975975161
"288",28.7,0,202.731724254072,26.898358279788,92.5835667744124,65.7740569402004,55.9211376717043,"S",0.903198218108326
"289",28.8,0,202.6721591879,25.7887940056166,91.8683427620984,65.0601038585702,55.1123007035079,"S",0.890134461918245
"290",28.9,0,202.741831179803,24.8080756597393,91.1990467241582,64.3738318731702,54.3814116816669,"S",0.878329665205467
"291",29,0,202.133529092175,23.7588860158551,90.4590281912907,63.6458008140461,53.4790671965258,"S",0.863755642482898
"292",29.1,0,201.410288038728,22.8504023175996,89.5824867520575,62.8746078936977,52.6374478558636,"S",0.850162408860323
"293",29.2,0,200.362497486423,21.7819439710002,88.6783516884862,62.0144136742355,51.7665265017528,"S",0.836095910074777
"294",29.3,0,199.93649800596,20.7836770313914,87.5996242247598,61.1676543200667,50.8341663750954,"S",0.82103709617911
"295",29.4,0,198.875366222092,19.7523509550946,86.5773838558144,60.2897007809758,49.7011911745066,"S",0.802738091099131
"296",29.5,0,197.780362802742,18.728461408417,85.5140018368307,59.3738446667646,48.5417334646123,"S",0.784011359470451
"297",29.6,0,196.608018298669,17.4903779080512,84.3998234511286,58.4068367101021,47.3444838157793,"S",0.764674239474697
